S_ID,S_name,S_address,S_level,S_city,S_zip,S_latitude,S_longitude
30165,LACEY TOWNSHIP MIDDLE SCHOOL,660 DENTON AVENUE,MIDDLE,FORKED RIVER,08731,39.8579937230001,-74.198853124
30166,JACKSON LIBERTY HIGH SCHOOL,125 NORTH HOPE CHAPEL ROAD,HIGH,JACKSON,08527,40.0911426550001,-74.262324196
30373,MANCHESTER TOWNSHIP ELEMENTARY SCHOOL,101 N COLONIAL DRIVE,ELEMENTARY,MANCHESTER,08733,40.016988719,-74.299059257
30374,RUSSELL O. BRACKMAN MIDDLE SCHOOL,600 BARNEGAT BLVD NORTH,MIDDLE,BARNEGAT,08005,39.758769081,-74.236290017
31038,CECIL S COLLINS ELEMENTARY,570 BARNEGAT BLVD NORTH,ELEMENTARY,BARNEGAT,08005,39.759411508,-74.238955833
31504,OXYCOCUS ELEMENTARY SCHOOL,250 NORTH MAIN STREET,PREKINDERGARTEN,MANAHAWKIN,08050,39.7022705700001,-74.2564606019999
32178,EAGLESWOOD ELEMENTARY SCHOOL,511 ROUTE 9,ELEMENTARY,WEST CREEK,08092,39.6571335290001,-74.290876898
32179,WARREN H. WOLF ELEMENTARY SCHOOL,224 260 CHAMBERS BRIDGE RD,ELEMENTARY,BRICK,08723,40.0684782180001,-74.148812101
32394,CEDAR CREEK ELEMENTARY SCHOOL,220 WESTERN BLVD,ELEMENTARY,LANOKA HARBOR,08734,39.8691933810001,-74.1977175329999
32936,HERBERTSVILLE ELEMENTARY SCHOOL,2282 LANES MILL RD,ELEMENTARY,BRICK,08724,40.111859646,-74.112204785
33410,PINELANDS REGIONAL HIGH SCHOOL,565 NUGENTOWN ROAD,HIGH,LITTLE EGG HARBOR,08087,39.6105154260001,-74.359807518
34809,ELMS ELEMENTARY SCHOOL,780 PATTERSON ROAD,ELEMENTARY,JACKSON,08527,40.1531920140001,-74.400343262
38792,OCEAN RGC,1 GAME FARM ROAD,SECONDARY,FORKED RIVER,08731,39.840668991,-74.184613075
38868,SOUTHERN REGIONAL MIDDLE SCHOOL,75 CEDAR BRIDGE ROAD,MIDDLE,MANAHAWKIN,08050,39.7082775470001,-74.2566437959999
39219,BEACH HAVEN SCHOOL,8TH STREET & BEACH AVENUE,ELEMENTARY,BEACH HAVEN,08008,39.5681284730001,-74.237435073
43398,MANCHESTER TOWNSHIP MIDDLE SCHOOL,2759 RIDGEWAY RD,MIDDLE,MANCHESTER,08759,40.018817728,-74.2636563
44567,DR. GERALD H. WOEHR ELEMENTARY SCHOOL,44 N MAIN ST,ELEMENTARY,NEW EGYPT,08533,40.0711230650001,-74.5270312709999
45004,SYLVIA ROSENAUER ELEMENTARY SCHOOL,60 CITADEL DRIVE,ELEMENTARY,JACKSON,08527,40.12191498,-74.249904391
46065,PINE BEACH ELEMENTARY SCHOOL,101 PENNSYLVANIA AVENUE,ELEMENTARY,PINE BEACH,08741,39.93547356,-74.179608796
46166,WHITING ELEMENTARY SCHOOL,412 MANCHESTER BLVD,ELEMENTARY,WHITING,08759,39.9591333990001,-74.377910157
46348,LILLIAN M. DUNFEE ELEMENTARY,128 BARNEGAT BLVD,ELEMENTARY,BARNEGAT,08005,39.753602148,-74.221412076
47420,OCEAN ROAD ELEMENTARY SCHOOL,BENEDICT STREET,ELEMENTARY,POINT PLEASANT,08742,40.0824793580001,-74.06205589
47543,HOOPER AVENUE ELEMENTARY SCHOOL,1517 HOOPER AVENUE,ELEMENTARY,TOMS RIVER,08753,39.9948036420001,-74.1702220609999
47936,ROBERT L. HORBELT ELEMENTARY SCHOOL,104 BURR STREET,ELEMENTARY,BARNEGAT,08005,39.7570858180001,-74.233005595
48695,OCEAN COUNTY VOCATIONAL TECHNICAL SCHOOL CULINARY CENTER,261 COUNTRY CLUB BLVD.,NOT REPORTED,LITTLE EGG HARBOR,08087,39.5772036650001,-74.3550638839999
49560,HUGH J BOYD JR. ELEMENTARY SCHOOL,1200 BAY BOULEVARD,ELEMENTARY,SEASIDE HTS,08751,39.9462730720001,-74.0780211009999
50031,H & M POTTER SCHOOL,60 VEEDER LANE,ELEMENTARY,BAYVILLE,08721,39.9143539510001,-74.145426675
50335,BAYVILLE ELEMENTARY SCHOOL,356 ATLANTIC CITY BLVD,ELEMENTARY,BAYVILLE,08721,39.917900854,-74.158728029
50376,SWITLIK ELEMENTARY SCHOOL,75 WEST VETERANS HIGHWAY,ELEMENTARY,JACKSON,08527,40.1106330470001,-74.3483451929999
50509,SILVER BAY ELEMENTARY SCHOOL,100 SILVER BAY ROAD,ELEMENTARY,TOMS RIVER,08753,40.0076711630001,-74.139734361
50889,MANCHESTER TOWNSHIP HIGH SCHOOL,101 S COLONIAL DR,HIGH,MANCHESTER,08759,40.0054046110001,-74.3099344189999
51816,OAK STREET ELEM SCHOOL,75 OAK STREET,ELEMENTARY,LAKEWOOD,08701,40.0678272820001,-74.2128709309999
51834,MARINE ACADEMY OF TECHNOLOGY AND ENVIRONMENTAL SCIENCE,195 CEDAR BRIDGE ROAD,HIGH,MANAHAWKIN,08050,39.7169350890001,-74.254180372
51925,LAKEWOOD HIGH SCHOOL,855 SOMERSET AVENUE,HIGH,LAKEWOOD,08701,40.099896356,-74.19323001
52669,BRICK TOWNSHIP HIGH SCHOOL,346 CHAMBERS BRIDGE RD,HIGH,BRICK TOWN,08723,40.0732805590001,-74.1531633069999
52877,CHRISTA MCAULIFFE MIDDLE SCHOOL,35 SOUTH HOPE CHAPEL ROAD,MIDDLE,JACKSON,08527,40.0796081010001,-74.264201145
53708,ROBERT C. WOOD SR EARLY CHILDHOOD CENTER,950 ROUTE 539,PREKINDERGARTEN,LITTLE EGG HARBOR,08087,39.619853103,-74.343560283
54187,PINER ELEMENTARY SCHOOL,1141 E COUNTY LINE ROAD,ELEMENTARY,LAKEWOOD,08701,40.1032731220001,-74.17202631
61203,LAKEWOOD EARLY CHILDHOOD CENTER,100 LINDEN AVENUE,PREKINDERGARTEN,LAKEWOOD,08701,40.094301312,-74.195717819
61321,MILL POND ELEMENTARY SCHOOL,210 WESTERN BLVD,MIDDLE,LANOKA HARBOR,08734,39.868289314,-74.1985981989999
62163,FROG POND ELEMENTARY SCHOOL,305 FROG POND ROAD,ELEMENTARY,LITTLE EGG HARBOR,08087,39.629356124,-74.327724589
63893,CEDAR GROVE ELEMENTARY SCHOOL,179 CEDAR GROVE ROAD,ELEMENTARY,TOMS RIVER,08753,39.968659922,-74.169831057
63899,LAVALLETTE ELEMENTARY SCHOOL,105 BROOKLYN AVE,ELEMENTARY,LAVALLETTE,08735,39.968689086,-74.070415543
63932,JACKSON MEMORIAL HIGH SCHOOL,101 DON CONNOR BLVD,HIGH,JACKSON,08527,40.1068607180001,-74.3444850659999
64250,RONALD L. MEINDERS PRIMARY LEARNING CENTER,1000 MCKINLEY AVENUE,ELEMENTARY,MANAHAWKIN,08050,39.70273812,-74.283434768
64288,HOWARD C. JOHNSON ELEMENTARY SCHOOL,1021 LARSEN ROAD,ELEMENTARY,JACKSON,08527,40.1489375210001,-74.267063191
64915,MCKINLEY AVENUE ELEMENTARY SCHOOL,1000 MCKINLEY AVENUE,ELEMENTARY,MANAHAWKIN,08050,39.7026888550001,-74.283559462
64947,RIDGEWAY ELEMENTARY SCHOOL,2861 RIDGEWAY RD,ELEMENTARY,MANCHESTER,08759,40.01985491,-74.265527576
66076,LANOKA HARBOR ELEMENTARY SCHOOL,281 MANCHESTER AVE,ELEMENTARY,LANOKA HARBOR,08734,39.8670174120001,-74.185030863
67115,MANCHESTER REGIONAL DAY SCHOOL,890 TOMS RIVER ROAD,OTHER,JACKSON,08527,40.0569626860001,-74.3549468109999
67244,TOMS RIVER HIGH SCHOOL EAST,1225 RAIDER WAY,HIGH,TOMS RIVER,08753,39.9645577840001,-74.1421180579999
68553,VETERANS MEMORIAL ELEMENTARY SCHOOL,103 HENDRICKSON AVENUE,ELEMENTARY,BRICK,08724,40.08418161,-74.11665472
68934,BEACHWOOD ELEMENTARY SCHOOL,901 BERKELEY AVENUE,ELEMENTARY,BEACHWOOD,08722,39.923182899,-74.1922133799999
71006,CARL W. GOETZ MIDDLE SCHOOL,835 PATTERSON ROAD,MIDDLE,JACKSON,08527,40.15452515,-74.3913654579999
72033,LONG BEACH ISLAND GRADE SCHOOL,201 20TH STREET,ELEMENTARY,SHIP BOTTOM,08008,39.6438173340001,-74.183178047
73080,OSBORNVILLE ELEMENTARY SCHOOL,218 DRUM POINT RD,ELEMENTARY,BRICK,08723,40.044503085,-74.12308123
