property_id,price,beds,baths,size(sqft),line,city,state,zipcode,longitude,latitude,days_ago,features
M5080268247,689000,4,3,3102,7 Cedar Ct,Jackson,NJ,8527,-74.279291,40.148004,17,"basement, garage_1_or_more, garage_2_or_more, two_or_more_stories"
M9580447290,689000,2,2,1269,510 N Bay Ave Unit 208,Beach Haven,NJ,8008,-74.238112,39.567046,28,"garage_1_or_more, single_story"
M9283032027,689000,2,2,1269,510 N Bay Ave Unit 2-6,Beach Haven,NJ,8008,-74.238112,39.567046,88,"basement, garage_1_or_more, single_story"
M9515792465,689000,2,2,1269,510 N Bay Ave Unit 2-8,Beach Haven,NJ,8008,-74.238112,39.567046,88,"basement, garage_1_or_more, two_or_more_stories"
M9477381403,689000,2,2,1269,510 N Bay Ave Unit 206,Beach Haven,NJ,8008,-74.238112,39.567046,28,"garage_1_or_more, single_story"
M6882721460,689000,4,3,2802,3454 E Thistle Ave,Toms River,NJ,8753,-74.112763,39.953961,23,"garage_1_or_more, two_or_more_stories"
M6684691464,689900,5,4,2600,126 Hancock Ave,Seaside Heights,NJ,8751,-74.074078,39.945075,37,"garage_1_or_more, garage_2_or_more, two_or_more_stories"
M5560034882,689900,4,3,2901,3 Emma Ln,Jackson,NJ,8527,-74.328518,40.106083,78,"basement, garage_1_or_more, garage_2_or_more, two_or_more_stories"
M9926998370,689900,5,4,3090,3 Olympic Cir,Lakewood,NJ,8701,-74.225561,40.076713,10,"basement, two_or_more_stories"
M5316533100,689900,5,3,2880,221 Grande River Blvd,Toms River,NJ,8755,-74.239196,40.02859,106,"basement, garage_2_or_more, two_or_more_stories"
M5988696979,694900,4,4,3410,44 Florence Ct,Toms River,NJ,8753,-74.140407,40.000719,42,garage_2_or_more
M6777784538,695000,5,4,3413,7 Imperial Pl N,Jackson,NJ,8527,-74.31411,40.095162,143,"basement, garage_1_or_more, two_or_more_stories"
M6135713535,695000,3,2,1530,1105 Island Dr,Bayville,NJ,8721,-74.132151,39.898668,178,"garage_1_or_more, two_or_more_stories"
M5738169420,695000,5,5,2846,853 Holly Berry Ln,Brick,NJ,8724,-74.104195,40.125122,74,"basement, garage_1_or_more, garage_2_or_more, two_or_more_stories"
M5177853229,695000,5,4,3123,65 Sprucewood Dr,Toms River,NJ,8755,-74.232236,40.029875,26,"basement, two_or_more_stories"
M5296150891,695000,5,3,3527,62 Mill Pond Rd,Jackson,NJ,8527,-74.39035,40.131515,41,"basement, two_or_more_stories"
M5458451255,695000,5,3,3761,657 Rolling Hills Ct,Brick,NJ,8724,-74.102287,40.111824,8,"basement, garage_1_or_more, garage_2_or_more, two_or_more_stories"
M9969507043,695000,4,4,2980,1675 Feldmus Ln Unit 1,Toms River,NJ,8755,-74.20866,40.012536,15,"basement, garage_2_or_more, two_or_more_stories"
M5228243265,699000,3,2,2097,1 Cutlass Way,Waretown,NJ,8758,-74.18397,39.796563,39,"garage_1_or_more, two_or_more_stories"
M5603135834,699000,5,4,4386,11 Marissa Dr,New Egypt,NJ,8533,-74.482155,40.10297,9,"basement, garage_1_or_more, garage_2_or_more, two_or_more_stories"
M6604775614,699000,5,3,3696,146 Cedar Run Rd,Bayville,NJ,8721,-74.161012,39.87139,9,"garage_1_or_more, garage_2_or_more, two_or_more_stories"
M5305019146,699000,3,3,2000,1208 Gannet Ct,Forked River,NJ,8731,-74.167618,39.816438,8,"garage_1_or_more, two_or_more_stories"
M6764085072,699000,4,3,2133,345 Bay Shore Dr,Barnegat,NJ,8005,-74.191092,39.756304,77,"garage_1_or_more, garage_2_or_more, two_or_more_stories"
M6725502746,699000,3,4,3600,82 Cannon Blvd,Jackson,NJ,8527,-74.28051,40.078139,37,"garage_1_or_more, two_or_more_stories"
M5729005330,699000,5,3,3080,8 Cedar Ct,Jackson,NJ,8527,-74.28041,40.149099,11,"basement, garage_1_or_more, garage_2_or_more, two_or_more_stories"
M5057863008,699000,4,3,3316,1430 Oakwood Hollow Ln,Toms River,NJ,8755,-74.205294,40.006011,9,"basement, two_or_more_stories"
M9794660362,699000,5,4,8000,2200 Route 88,Brick,NJ,8724,-74.095184,40.078115,22,"garage_1_or_more, garage_2_or_more, two_or_more_stories"
M5917565557,699000,2,2,880,1504 S Beach Ave Unit 3,Beach Haven,NJ,8008,-74.245878,39.553175,18,two_or_more_stories
M6974938037,699613,4,3,3350,1283 Ridge Ave,Manahawkin,NJ,8050,-74.24481,39.729036,42,"basement, garage_1_or_more, garage_2_or_more, two_or_more_stories"
M9073122709,699900,5,4,3174,8 Birch St,Lakewood,NJ,8701,-74.217133,40.07807,116,"basement, two_or_more_stories"
M9683882401,699900,5,3,3283,814 Bristol Ln,Brick,NJ,8724,-74.106652,40.124747,58,"basement, garage_1_or_more, garage_2_or_more, two_or_more_stories"
M9431601235,699900,5,4,2600,128 Hancock Ave,Seaside Heights,NJ,8751,-74.074052,39.945006,15,"garage_1_or_more, garage_2_or_more, two_or_more_stories"
M9124159360,699900,5,3,3283,812 Bristol Ln,Brick,NJ,8724,-74.107067,40.12474,44,"basement, garage_1_or_more, garage_2_or_more, two_or_more_stories"
M9724736137,699900,4,3,3700,163 Law-Win Ct,Brick,NJ,8723,-74.109989,40.045027,13,"basement, garage_1_or_more, garage_2_or_more, two_or_more_stories"
M5506919022,699900,3,2,1880,106 S Forecastle Dr,Tuckerton,NJ,8087,-74.374934,39.559146,18,"garage_1_or_more, garage_2_or_more, two_or_more_stories"
M9462691021,699900,5,4,3131,82 Sylvan Ct,Lakewood,NJ,8701,-74.223481,40.075286,24,"basement, two_or_more_stories"
M5294306487,699900,4,4,2675,25 Ohio Dr,Tuckerton,NJ,8087,-74.38533,39.542716,148,"garage_1_or_more, garage_2_or_more, two_or_more_stories"
M9153473743,699900,5,4,3175,88 Sylvan Ct,Lakewood,NJ,8701,-74.223611,40.075301,70,"basement, two_or_more_stories"
M9577613480,699900,7,4,3000,66 I St,Seaside Park,NJ,8752,-74.076749,39.929664,41,"basement, two_or_more_stories"
M5174972379,699900,4,3,2504,114 Oak Ave,Island Heights,NJ,8732,-74.151262,39.943462,24,"basement, two_or_more_stories"
M9666401649,699900,5,4,3195,6 Birch St,Lakewood,NJ,8701,-74.21705,40.078065,101,"basement, two_or_more_stories"
M5195484728,699900,4,3,2200,32 Stockton Ave,Seaside Park,NJ,8752,-74.073707,39.935884,61,"garage_1_or_more, two_or_more_stories"
M6469500945,699999,4,3,3300,109 Mizzen Rd,Brick,NJ,8723,-74.121271,40.03153,14,garage_2_or_more
M5339752931,699999,5,5,3000,251 Bartley Rd,Jackson,NJ,8527,-74.279155,40.139702,53,"basement, garage_1_or_more, garage_2_or_more, two_or_more_stories"
M9307636521,700000,4,3,2920,594 Genova Ave,Jackson,NJ,8527,-74.292486,40.161296,28,"basement, garage_1_or_more, garage_2_or_more, two_or_more_stories"
M5636154162,700000,5,3,3840,41 Highland Dr,Jackson,NJ,8527,-74.277482,40.138807,10,"basement, garage_1_or_more, garage_2_or_more, two_or_more_stories"
M6816344519,700000,4,2,1200,223 2nd St,Surf City,NJ,8008,-74.238741,39.564501,16,two_or_more_stories
M6181845472,709000,5,3,2936,56 Mill Pond Rd,Jackson,NJ,8527,-74.389049,40.131593,49,"basement, garage_1_or_more, garage_2_or_more, two_or_more_stories"
M9261873611,710000,5,4,3385,1679 Saint Regis Ct,Toms River,NJ,8755,-74.208815,40.011245,190,"basement, garage_2_or_more"
M6944519765,710000,4,3,2088,120 Cedar St,Beachwood,NJ,8722,-74.190043,39.944436,14,"garage_1_or_more, two_or_more_stories"
M6148685968,719000,5,4,3800,1797 Rolling Ridge Ln,Toms River,NJ,8755,-74.233025,40.013487,16,"basement, garage_1_or_more, garage_2_or_more, two_or_more_stories"
M9975791063,724900,4,4,2900,113 Kristjan Ct,Toms River,NJ,8755,-74.216805,40.001101,9,"basement, garage_1_or_more, garage_2_or_more, two_or_more_stories"
M5682545185,724900,4,3,2800,133 M St,Seaside Park,NJ,8752,-74.078661,39.932447,14,"garage_1_or_more, garage_2_or_more, two_or_more_stories"
M6382727276,725000,4,3,3237,9 Cedarview Ave,Jackson,NJ,8527,-74.388333,40.129688,32,"basement, garage_1_or_more, garage_2_or_more, two_or_more_stories"
